Ability ID,Ability Name,Ability Value,tas_id
165,Sensor,200,32902
166,Sensor,200,32902
167,Sensor,200,32902
168,Sensor,200,32902
169,Sensor,200,32902
170,Sensor,200,32902
171,Sensor,200,32902
172,Sensor,200,32902
173,Sensor,200,32902
174,Sensor,200,32902
175,Sensor,200,32902
176,Sensor,200,32902
177,Sensor,200,32902
178,Sensor,200,32902
179,Sensor,200,32902
180,Sensor,200,32902
181,Sensor,200,32902
182,Sensor,200,32902
183,Sensor,200,32902
184,Sensor,200,32902
185,Sensor,200,32902
186,Sensor,200,32902
187,Sensor,200,32902
188,Sensor,200,32902
189,Sensor,200,32902
190,Sensor,200,32902
191,Sensor,200,32902
192,Sensor,200,32902
193,Sensor,200,32902
194,Sensor,200,32902
195,Sensor,200,32902
196,Sensor,200,32902
197,Sensor,200,32902
198,Sensor,200,32902
199,Sensor,200,32902
200,Sensor,200,32902
201,Sensor,200,32902
202,Sensor,200,32902
203,Sensor,200,32902
204,Sensor,200,32902
205,Sensor,200,32902
206,Sensor,200,32902
207,Sensor,200,32902
208,Sensor,200,32902
209,Sensor,200,32902
210,Sensor,200,32902
211,Sensor,200,32902
212,Sensor,200,32902
213,Sensor,200,32902
214,Sensor,200,32902
215,Sensor,200,32902
216,Sensor,200,32902
217,Sensor,200,32902
218,Sensor,200,32902
219,Sensor,200,32902
220,Sensor,200,32902
221,Sensor,200,32902
222,Sensor,200,32902
223,Sensor,200,32902
224,Sensor,200,32902
225,Sensor,200,32902
226,Sensor,200,32902
227,Sensor,200,32902
228,Sensor,200,32902
229,Sensor,200,32902
230,Sensor,200,32902
231,Sensor,200,32902
232,Sensor,200,32902
233,Sensor,200,32902
234,Sensor,200,32902
235,Sensor,200,32902
236,Sensor,200,32902
237,Sensor,200,32902
238,Sensor,200,32902
239,Sensor,200,32902
240,Sensor,200,32902
241,Sensor,200,32902
242,Sensor,200,32902
243,Sensor,200,32902
244,Sensor,200,32902
245,Sensor,200,32902
246,Sensor,200,32902
247,Sensor,200,32902
248,Sensor,200,32902
249,Sensor,200,32902
250,Sensor,200,32902
251,Sensor,200,32902
252,Sensor,200,32902
253,Sensor,200,32902
254,Sensor,200,32902
255,Sensor,200,32902
